,vm_id,pm_name,site_id,cores,start_time,end_time
5149,b8e37dc8b614f9eee73af859a00bd9d8,81c5f54b5f743dc7d42859f31963cfa0,hangzhou-cmcc-2,16,1593273600,1598544000
5150,644c33f95a7af9847c6c2708b1427018,5d5f02a9e3b2dc94a5e70ef50a10ef83,hangzhou-cmcc-2,16,1593273600,1598544000
5176,0108351b59922425a488907bafc2855e,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,16,1594051200,1596729600
5182,d6de3c8aa7e70474209a82c64fd725e0,5d5f02a9e3b2dc94a5e70ef50a10ef83,hangzhou-cmcc-2,4,1588991270,4742591270
5183,5c10ab948352a273730fcefbbbb83293,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,4,1588991270,4742591270
6059,ad3ffc12f02d8c84663e416544b73ed7,81c5f54b5f743dc7d42859f31963cfa0,hangzhou-cmcc-2,4,1589783473,4743383473
6189,cac35ae46c9e99623aeb386ea87f97cd,1edabc1bd24704024c15767c29cb9229,hangzhou-cmcc-2,32,1595606400,1598284800
6190,a22322c5be8541e9d26ee05d85912261,f5969f202efb91a74bc8d78238c5e386,hangzhou-cmcc-2,32,1595606400,1598284800
6191,3fc847ea81271b0ffca652a710ff3eb0,17e48a47f984f05b1e42777a83753aa7,hangzhou-cmcc-2,32,1595606400,1598284800
6192,c0992e0f39ffebb73a95258e51fbdc1c,a5fbe8a3f28264128f989fd13e114e57,hangzhou-cmcc-2,32,1595606400,1598284800
6241,ac3914f3689938a0662d6dfa43305b48,a5fbe8a3f28264128f989fd13e114e57,hangzhou-cmcc-2,32,1593187200,1595779200
6242,a836b30304a4a67407a22676f927769f,aeba82a19b011aac6e66cf9393babcf2,hangzhou-cmcc-2,32,1593187200,1595779200
6243,a3ac5ffab2ff5eb772d3ebdcc144c530,7ef25a38914d73133e9e1c6192dea918,hangzhou-cmcc-2,32,1593187200,1595779200
6500,86e89edbe74e864ac075948f7c705264,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,32,1593792000,1596470400
6501,407597cec8d02c299cb8256fd4a108df,adc56e5a2a778a46f3b2436ba3f94d0e,hangzhou-cmcc-2,32,1593792000,1596470400
6502,d44963e92c6266b7bd00d505235f6f9f,a764d00d213a1c83e969bafa290d1b07,hangzhou-cmcc-2,32,1593792000,1596470400
6503,7d0372a17bf4f7b0d70f1ca25e954176,0438ce351e66eec526d1ec663e9913f5,hangzhou-cmcc-2,32,1593792000,1596470400
6504,2fa137c321c6b5f06d85e45fac0df4a4,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,32,1593792000,1596470400
6505,884587883d44bf0b71975b7d96ad4ebf,81c5f54b5f743dc7d42859f31963cfa0,hangzhou-cmcc-2,32,1593792000,1596470400
6514,17e5b2a9906a2a4356f39c8832db17e8,1edabc1bd24704024c15767c29cb9229,hangzhou-cmcc-2,32,1593878400,1596556800
6515,72e51097130b2cfb30d5f8b8019b9cc3,f5969f202efb91a74bc8d78238c5e386,hangzhou-cmcc-2,32,1593878400,1596556800
6546,ebe34e5f239f043f10c36c79725e8c66,17e48a47f984f05b1e42777a83753aa7,hangzhou-cmcc-2,32,1593964800,1596643200
6547,21272ffe4795c1bce16f44b4ba27ad50,da3d6af45f53a5a2040be53002066d8c,hangzhou-cmcc-2,32,1593964800,1596643200
6548,a27bca54db4b2abb2d96d5f4d98e32d5,aeba82a19b011aac6e66cf9393babcf2,hangzhou-cmcc-2,32,1593964800,1596643200
6549,db805b28d636238cffecdb2342f806b0,a5fbe8a3f28264128f989fd13e114e57,hangzhou-cmcc-2,32,1593964800,1596643200
6569,91bd51c94fa8c01f330a8af9961eccad,adc56e5a2a778a46f3b2436ba3f94d0e,hangzhou-cmcc-2,2,1591590986,4745190986
6591,d8a457a26151175d0af77a05467d2a64,5d5f02a9e3b2dc94a5e70ef50a10ef83,hangzhou-cmcc-2,32,1594483200,1597161600
6592,5881b6a413e633ce8f17c7d52b1ba2cd,a764d00d213a1c83e969bafa290d1b07,hangzhou-cmcc-2,32,1594483200,1597161600
6691,a9f9356219b81ab1449369b74cec0f53,1edabc1bd24704024c15767c29cb9229,hangzhou-cmcc-2,8,1592463934,4746063934
6692,776ae18656cad49cf8abd26ca20ceae0,f5969f202efb91a74bc8d78238c5e386,hangzhou-cmcc-2,8,1592463934,4746063934
6810,f07665d29e259641ce0bd799655e6aae,17e48a47f984f05b1e42777a83753aa7,hangzhou-cmcc-2,32,1595174400,1597852800
7171,1742d118069e8d7e3eb020a9301978cb,adc56e5a2a778a46f3b2436ba3f94d0e,hangzhou-cmcc-2,2,1594021731,4747621731
3303,56f5b7f66255fb6fa5b5f2781fe8950c,eeecfaa072512b595cf09f7442da074d,hangzhou-telecom,2,1577762718,4731362718
3359,f6e928e50471fa490000d8d4226eb949,9a392da14330d746552b129f161c7299,hangzhou-telecom,32,1593532800,1596211200
3360,8241bb386cbe0c6683b7deaa7233c7ab,674dc4b5ba2d402b0ae20323aee4f8d4,hangzhou-telecom,32,1593532800,1596211200
3361,ecb52dfbfe6db47d251f1125f5a640ec,5fdab57846d931593f461795b8f49ae7,hangzhou-telecom,32,1593532800,1596211200
3362,745a13824ae2ac8263cf30c3c04260f5,eeecfaa072512b595cf09f7442da074d,hangzhou-telecom,32,1593532800,1596211200
3823,414cc5fce803f3f9a4be408a219af41f,eeecfaa072512b595cf09f7442da074d,hangzhou-telecom,16,1580972684,4734572684
4522,11036559fdc4bf24d009d9c27e571bd4,c651d4845691fa91551e33a11ef78f0e,hangzhou-telecom,16,1584525168,4738125168
4616,21b94b49b16fa76d2cb794fbb9312457,9a392da14330d746552b129f161c7299,hangzhou-telecom,32,1593532800,1596211200
4617,1c102af646d8eee4703b4c09f7fd58cb,674dc4b5ba2d402b0ae20323aee4f8d4,hangzhou-telecom,32,1593532800,1596211200
4618,bea97f61908acc04e8ff9e263c3c7983,5fdab57846d931593f461795b8f49ae7,hangzhou-telecom,32,1593532800,1596211200
4619,a4e432cc07e1dc29b75b08733d957524,088e00aa25eef9b98652f24d96f98365,hangzhou-telecom,32,1593532800,1596211200
4620,8e6954fad7c514a163dfd257ce9287bf,c651d4845691fa91551e33a11ef78f0e,hangzhou-telecom,32,1593532800,1596211200
4621,d66e42d9da9ca0dc0cb968eb578a7c3e,088e00aa25eef9b98652f24d96f98365,hangzhou-telecom,32,1593532800,1596211200
4622,e331db056dcbbdba0e5b56520512f001,c651d4845691fa91551e33a11ef78f0e,hangzhou-telecom,32,1593532800,1596211200
4623,5564b3652a3a58f5fba0cc2cc90675dd,40383aae33630919b25555f8117a22d8,hangzhou-telecom,32,1593532800,1596211200
4624,d8185cc22cd23e29c2f54b682844e537,a2cdbbeac29a69d2d8109e6ec18a4f8c,hangzhou-telecom,32,1593532800,1596211200
4828,5930172b9f04c57777d695a1b3f5e4de,baccb06e8155e6b784d319f6cc8b4b56,hangzhou-telecom,32,1594396800,1597075200
4848,5cf9b7abdc17c41b119fb19a8353d76a,a2cdbbeac29a69d2d8109e6ec18a4f8c,hangzhou-telecom,32,1594483200,1597161600
5093,155dd7fcf2d4a7a6d76b43c3bf18179b,40383aae33630919b25555f8117a22d8,hangzhou-telecom,1,1587293276,1595069292
6209,d19e8f57a54f45168c9720d9e357d131,82d23a1846dc2727c1bda22d764e268f,hangzhou-telecom,32,1593187200,1595779200
